Geneid FLT1.bam FLT2.bam FLT3.bam GC1.bam GC2.bam GC3.bam
ENSMUSG00000024135 204 193 174 286 307 274
ENSMUSG00000071267 77 111 106 115 106 81
ENSMUSG00000053347 119 94 101 116 112 106
ENSMUSG00000086004 17 8 9 16 8 8
ENSMUSG00000099397 107 93 101 92 86 74
ENSMUSG00000117025 0 0 0 0 0 0
ENSMUSG00000040775 0 0 0 0 0 0
ENSMUSG00000092147 0 0 0 0 0 0
ENSMUSG00000117234 0 0 1 1 0 0
ENSMUSG00000063383 18 6 12 16 12 3
ENSMUSG00000117252 94 80 89 92 100 103
ENSMUSG00000096433 27 33 50 42 28 42
ENSMUSG00000117284 63 72 52 65 56 56
ENSMUSG00000117164 0 0 0 0 0 0
ENSMUSG00000033972 76 59 68 82 97 70
ENSMUSG00000044501 55 65 54 42 41 42
ENSMUSG00000099798 0 0 0 0 0 0
ENSMUSG00000071266 165 185 142 156 163 166
ENSMUSG00000117058 0 0 0 0 0 0
ENSMUSG00000037689 0 0 1 0 0 0
ENSMUSG00000117094 0 0 0 0 0 0
ENSMUSG00000117457 0 0 0 0 0 0
ENSMUSG00000117259 0 0 0 0 0 0
ENSMUSG00000053375 0 0 0 0 0 0
ENSMUSG00000024143 134 125 119 105 114 93
ENSMUSG00000095093 3 5 2 0 3 4
ENSMUSG00000117628 2 8 0 2 3 5
ENSMUSG00000024145 5 3 5 14 13 6
ENSMUSG00000024146 198 199 175 201 195 202
ENSMUSG00000094921 0 0 0 2 0 0
ENSMUSG00000087736 0 0 0 0 0 0
ENSMUSG00000117055 0 0 0 0 0 0
ENSMUSG00000071035 133 137 165 184 188 180
ENSMUSG00000117183 14 15 16 24 6 15
ENSMUSG00000098210 22 21 18 26 38 16
ENSMUSG00000037104 83 113 81 101 98 107
ENSMUSG00000098164 0 0 0 0 0 0
ENSMUSG00002075652 0 0 0 0 0 0
ENSMUSG00000117333 5 8 2 2 4 13
ENSMUSG00000117384 0 0 0 0 0 0
ENSMUSG00000023991 269 275 273 279 232 218
ENSMUSG00000059142 98 88 87 95 89 117
ENSMUSG00000117002 4 3 4 5 5 3
ENSMUSG00000117141 2 0 0 0 0 0
ENSMUSG00000085932 0 0 1 0 0 0
ENSMUSG00000090355 0 0 0 0 0 0
ENSMUSG00000092111 0 0 0 1 0 0
ENSMUSG00000084288 118 108 85 123 125 142
ENSMUSG00000094752 0 0 0 0 0 0
ENSMUSG00000082492 0 0 0 0 0 0
ENSMUSG00000093433 0 0 0 0 0 0
ENSMUSG00000024150 2139 2042 2027 2080 2025 1934
ENSMUSG00000094928 0 0 0 0 0 0
ENSMUSG00000117308 149 150 150 226 215 207
ENSMUSG00000117334 0 0 0 0 0 0
ENSMUSG00000021545 0 0 0 0 0 0
ENSMUSG00000117157 0 0 0 0 0 0
ENSMUSG00000073386 0 3 0 0 2 0
ENSMUSG00000117266 0 0 0 0 0 0
ENSMUSG00000002617 30 26 22 21 19 15
ENSMUSG00000093493 0 0 0 0 0 0
ENSMUSG00000043939 1 3 0 1 4 2
ENSMUSG00000091945 4 0 6 0 3 4
ENSMUSG00000042265 0 1 0 0 0 1
ENSMUSG00000117318 0 0 0 0 0 1
ENSMUSG00000041754 4 2 2 0 1 1
ENSMUSG00000091076 0 0 0 1 1 0
ENSMUSG00000036918 785 789 723 785 784 800
ENSMUSG00000089701 1 0 0 0 1 0
ENSMUSG00000090966 1 0 0 0 0 0
ENSMUSG00000089755 1 2 0 1 3 0
ENSMUSG00000117159 0 0 0 0 0 0
ENSMUSG00000096270 0 0 0 0 0 0
ENSMUSG00000091407 0 0 0 0 0 0
ENSMUSG00000109027 0 0 0 0 0 0
ENSMUSG00000117154 51 53 46 46 39 63
ENSMUSG00000036557 0 0 0 0 0 0
ENSMUSG00000051682 71 61 85 60 44 49
ENSMUSG00000036438 741 812 786 759 829 817
ENSMUSG00000089427 0 0 0 0 0 0
ENSMUSG00000100847 0 0 0 0 0 0
ENSMUSG00000117361 0 2 0 0 1 0
ENSMUSG00000071068 9 6 8 11 9 4
ENSMUSG00000117414 0 0 0 0 0 0
ENSMUSG00000043740 24 23 32 14 43 25
ENSMUSG00000023992 9 7 15 18 12 14
ENSMUSG00000023993 1 3 0 0 0 3
ENSMUSG00000005371 260 281 253 329 309 284
ENSMUSG00000097676 0 0 0 0 0 0
ENSMUSG00000117369 0 0 0 0 0 0
ENSMUSG00000118572 0 0 0 0 0 0
ENSMUSG00000117351 1 1 0 0 0 0
ENSMUSG00000117497 0 0 1 0 0 0
ENSMUSG00000088791 0 0 0 0 0 0
ENSMUSG00000119680 0 0 0 0 0 0
ENSMUSG00000034998 183 154 168 165 151 171
ENSMUSG00000034709 204 189 153 195 190 170
ENSMUSG00000023994 133 129 108 171 172 166
ENSMUSG00000103075 0 2 1 0 0 0
ENSMUSG00000033855 52 42 54 83 86 62
ENSMUSG00000117398 0 0 0 0 0 0
ENSMUSG00000040771 138 149 124 175 166 140
ENSMUSG00000117104 0 0 0 0 0 0
ENSMUSG00000117567 0 0 0 0 0 0
ENSMUSG00000040694 0 3 0 1 1 4
ENSMUSG00000024154 0 0 0 0 0 0
ENSMUSG00000023908 25 32 20 16 18 8
ENSMUSG00000023995 0 0 0 0 0 0
