# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "6" "-a" "Mus_musculus.GRCm39.112.chrs_17-19.gtf" "-o" "GC1.featureCounts.txt" "GC1.bam" 
Geneid	Chr	Start	End	Strand	Length	GC1.bam
ENSMUSG00000024135	17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17	86292093;86292093;86292375;86292375;86295753;86295753;86295753;86295753;86307749;86307749;86307749;86308859;86308859;86308859;86311275;86311275;86347720;86347720;86347720;86355403;86358514;86358514;86365102;86365104;86365104;86405940;86405940;86406633;86406633;86410271;86410271;86416655;86422621;86422621;86427342;86427342;86427582;86428078;86433539;86435144;86437542;86443592;86446497;86449788;86452549	86292911;86292911;86292911;86292911;86295937;86295937;86295937;86295937;86307901;86307901;86307901;86309035;86309035;86309035;86311381;86311381;86347792;86347792;86347859;86355947;86358596;86358596;86365195;86365128;86365195;86406047;86406047;86406723;86406723;86410428;86410428;86416762;86422724;86422724;86427477;86427477;86427699;86428174;86433677;86435261;86437708;86443963;86446677;86449867;86452603	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4335	286
ENSMUSG00000071267	17;17;17;17;17;17;17;17;17;17;17;17	22145941;22147167;22149347;22149347;22151974;22151974;22158726;22160707;22172869;22172869;22181237;22181237	22148470;22148470;22149473;22149473;22152094;22152003;22160831;22160831;22173034;22173034;22181445;22181432	-;-;-;-;-;-;-;-;-;-;-;-	5259	115
ENSMUSG00000053347	17;17;17;17;17;17;17;17;17;17;17;17;17	22181533;22181540;22181567;22207012;22207012;22207012;22209760;22209760;22209760;22211073;22225287;22229160;22289439	22181800;22181800;22181800;22207082;22207082;22207082;22209886;22211025;22209886;22213347;22225363;22229277;22290149	+;+;+;+;+;+;+;+;+;+;+;+;+	4786	116
ENSMUSG00000086004	17	22183117	22183564	-	448	16
ENSMUSG00000099397	17	22186482	22187223	-	742	92
ENSMUSG00000117025	17	22187468	22187775	-	308	0
ENSMUSG00000040775	17	22224975	22226580	-	1606	0
ENSMUSG00000092147	17	22258009	22259520	-	1512	0
ENSMUSG00000117234	17;17	22286245;22288752	22287882;22288869	-;-	1756	1
ENSMUSG00000063383	17;17;17;17;17	22363340;22366370;22369016;22382168;22384800	22365515;22366496;22369063;22382316;22385171	-;-;-;-;-	2872	16
